Date,OF_Open,OF_High,OF_Low,OF_Close,OF_AdjClose,OF_Volume
"May 10, 2023",77.25,77.60,76.07,76.63,76.63,"14,928"
"May 09, 2023",76.85,77.49,75.07,77.44,77.44,"17,211"
"May 08, 2023",75.41,77.42,74.96,77.01,77.01,"17,211"
"May 05, 2023",72.65,75.73,72.41,75.30,75.30,"20,363"
"May 04, 2023",71.89,73.73,68.20,72.50,72.50,"30,132"
"May 03, 2023",75.27,75.55,71.68,72.33,72.33,"34,878"
"May 02, 2023",79.26,79.78,75.09,75.32,75.32,"35,700"
"May 01, 2023",80.18,80.19,78.13,79.31,79.31,"12,551"
"Apr 28, 2023",78.31,79.60,77.97,79.54,79.54,"26,788"
"Apr 27, 2023",77.87,78.63,77.39,78.37,78.37,"8,926"
"Apr 26, 2023",81.00,81.47,77.48,77.69,77.69,"15,436"
"Apr 25, 2023",82.58,83.05,80.35,80.77,80.77,"17,134"
