Date,USDI_Open,USDI_High,USDI_Low,USDI_Close,USDI_AdjClose,USDI_Volume
"May 10, 2023",101.62,101.81,101.21,101.42,101.42,-
"May 09, 2023",101.40,101.84,101.36,101.64,101.64,-
"May 08, 2023",101.28,101.42,101.04,101.37,101.37,-
"May 07, 2023",-,-,-,-,-,-
"May 05, 2023",101.34,101.78,101.12,101.21,101.21,-
"May 04, 2023",101.20,101.64,101.03,101.40,101.40,-
"May 03, 2023",101.86,101.92,101.07,101.34,101.34,-
"May 02, 2023",102.15,102.40,101.88,101.96,101.96,-
"May 01, 2023",101.67,102.19,101.62,102.15,102.15,-
"Apr 30, 2023",-,-,-,-,-,-
"Apr 28, 2023",101.47,102.17,101.42,101.67,101.67,-
"Apr 27, 2023",101.40,101.80,101.28,101.50,101.50,-
"Apr 26, 2023",101.82,101.89,101.01,101.47,101.47,-
"Apr 25, 2023",101.26,101.95,101.20,101.86,101.86,-
