Date,DJ_Open,DJ_High,DJ_Low,DJ_Close,DJ_AdjClose,DJ_Volume
"May 09, 2023","33,589.85","33,656.40","33,509.72","33,561.81","33,561.81","232,940,000"
"May 08, 2023","33,715.15","33,747.49","33,509.23","33,618.69","33,618.69","225,680,000"
"May 05, 2023","33,248.55","33,748.43","33,248.55","33,674.38","33,674.38","316,350,000"
"May 04, 2023","33,347.78","33,354.86","32,937.50","33,127.74","33,127.74","305,160,000"
"May 03, 2023","33,726.64","33,811.84","33,396.05","33,414.24","33,414.24","286,900,000"
"May 02, 2023","34,017.62","34,017.75","33,436.66","33,684.53","33,684.53","274,460,000"
"May 01, 2023","34,116.81","34,257.83","34,030.14","34,051.70","34,051.70","244,190,000"
"Apr 28, 2023","33,797.43","34,104.56","33,728.40","34,098.16","34,098.16","354,310,000"
"Apr 27, 2023","33,381.66","33,859.75","33,374.65","33,826.16","33,826.16","343,240,000"
"Apr 26, 2023","33,596.34","33,645.83","33,235.85","33,301.87","33,301.87","321,170,000"
"Apr 25, 2023","33,828.34","33,875.49","33,525.39","33,530.83","33,530.83","297,880,000"
