Date,GDX_Open,GDX_High,GDX_Low,GDX_Close,GDX_AdjClose,GDX_Volume
"May 09, 2023",35.28,35.53,35.09,35.25,35.25,"9,790,200"
"May 08, 2023",35.49,35.81,35.16,35.36,35.36,"12,247,900"
"May 05, 2023",34.62,35.59,34.52,35.40,35.40,"22,247,900"
"May 04, 2023",35.13,36.26,35.10,35.69,35.69,"35,165,200"
"May 03, 2023",34.64,35.16,34.52,34.86,34.86,"23,335,800"
"May 02, 2023",33.42,34.78,33.34,34.74,34.74,"34,821,200"
"May 01, 2023",34.15,34.30,33.37,33.41,33.41,"13,286,700"
"Apr 28, 2023",33.79,33.92,33.31,33.58,33.58,"17,740,100"
"Apr 27, 2023",33.24,33.88,33.06,33.85,33.85,"16,943,200"
"Apr 26, 2023",34.17,34.22,33.25,33.33,33.33,"14,899,900"
"Apr 25, 2023",33.60,33.92,33.24,33.77,33.77,"14,439,600"
