Date,USB_Price,USB_Open,USB_High,USB_Low,USB_Change
"May 10, 2023","3.464","3.513","3.526","3.446","-1.67%"
"May 09, 2023","3.522","3.515","3.532","3.479","0.43%"
"May 08, 2023","3.507","3.448","3.520","3.422","2.10%"
"May 05, 2023","3.435","3.386","3.465","3.379","1.73%"
"May 04, 2023","3.377","3.403","3.411","3.296","0.39%"
"May 03, 2023","3.364","3.431","3.441","3.341","-2.03%"
"May 02, 2023","3.433","3.566","3.570","3.424","-3.83%"
"May 01, 2023","3.570","3.450","3.608","3.448","3.98%"
"Apr 28, 2023","3.433","3.522","3.551","3.422","-2.69%"
"Apr 27, 2023","3.528","3.443","3.538","3.433","2.42%"
"Apr 26, 2023","3.445","3.418","3.458","3.375","1.33%"
"Apr 25, 2023","3.400","3.481","3.492","3.379","-2.75%"
